episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
10,3,false,25,-8.3333,0.999900,0.1000,22.80,6.1883,1,1,0.0833
20,3,false,25,-3.3333,0.998202,0.1000,22.70,6.4275,2,1,0.1667
30,3,false,25,-3.3333,0.998202,0.0667,23.47,2.9239,2,1,0.0833
40,3,false,25,-4.5833,0.996406,0.1000,22.65,6.5158,4,2,0.0833
50,3,true,1,100.0000,0.995112,0.1000,22.64,6.2960,5,2,0.3333
60,3,false,25,-7.0833,0.994714,0.0833,23.03,4.4133,5,2,0.1250
70,3,false,25,-2.0833,0.993123,0.1000,22.63,6.1757,7,2,0.2500
80,3,false,25,-7.0833,0.992925,0.0875,22.93,4.8152,7,2,0.1250
90,3,false,25,-3.3333,0.991139,0.1000,22.64,6.1715,9,2,0.1667
100,3,false,25,-3.3333,0.990247,0.0900,22.88,5.1710,9,2,0.0833
110,3,false,25,-7.5000,0.989554,0.0800,23.10,4.1313,9,2,0.1667
120,3,false,25,-2.9167,0.988269,0.0700,23.34,3.1730,9,2,0.1667
130,3,false,25,-2.5000,0.987874,0.0800,23.14,4.2023,10,2,0.2917
140,3,false,25,-4.5833,0.986195,0.0700,23.38,3.1273,11,2,0.0833
150,3,false,25,-2.5000,0.985308,0.0600,23.62,2.1523,11,2,0.1667
160,3,false,25,-5.4167,0.984619,0.0600,23.62,2.2190,11,2,0.0833
170,3,false,25,-2.5000,0.983340,0.0500,23.86,1.2023,12,2,0.2083
180,3,false,25,-0.4167,0.982946,0.0500,23.86,1.2148,12,2,0.3750
190,3,false,25,-6.2500,0.981375,0.0300,24.32,-0.9207,12,2,0.2917
200,3,false,25,-5.4167,0.980590,0.0300,24.32,-1.0040,12,2,0.0833
210,3,false,25,-3.3333,0.979806,0.0300,24.32,-1.0957,12,2,0.2083
220,3,false,25,-4.5833,0.978337,0.0300,24.32,-1.2707,12,2,0.1667
230,3,false,25,-3.7500,0.977848,0.0600,23.64,1.7878,16,4,0.2500
240,3,false,25,-2.9167,0.976382,0.0500,23.88,0.7253,16,4,0.2500
